Index,Red,Green,Blue
0,255,255,255
1,203,142,203
2,203,142,203
3,0,117,115
4,0,117,115
5,191,23,23
6,191,23,23
7,198,198,2
8,198,198,2
9,149,203,203
10,149,203,203
11,102,102,102
12,102,102,102
13,203,203,108
14,203,203,108
15,152,69,47
16,152,69,47
17,162,81,203
18,162,81,203
19,0,254,0
20,0,254,0
21,203,203,3
22,203,203,3
23,76,47,127
24,76,47,127
25,54,54,203
26,54,54,203
27,0,203,0
28,0,203,0
29,162,0,54
30,162,0,54
31,254,254,4
32,254,254,4
33,184,148,39
34,184,148,39
35,0,203,203
36,0,203,203
37,128,102,0
38,128,102,0
39,0,203,0
40,0,203,0
41,203,142,203
42,203,142,203
43,162,54,13
44,162,54,13
45,203,203,3
46,203,203,3
47,162,0,56
48,162,0,56
49,203,102,0
50,203,102,0
51,0,200,203
52,0,200,203
53,94,0,26
54,94,0,26
55,204,204,204
56,204,204,204
57,72,72,200
58,72,72,200
59,81,0,176
60,81,0,176
61,162,0,54
62,162,0,54
63,134,53,0
64,134,53,0
65,122,203,67
66,122,203,67
67,94,69,54
68,94,69,54
69,0,135,203
70,0,135,203
71,13,176,67
72,13,176,67
73,0,200,0
74,0,200,0
75,108,0,162
76,108,0,162
77,61,61,203
78,61,61,203
79,203,203,0
80,203,203,0
81,162,54,13
82,162,54,13
83,94,13,13
84,94,13,13
85,203,53,0
86,203,53,0
87,38,0,83
88,38,0,83
89,162,0,56
90,162,0,56
91,0,94,92
92,0,94,92
93,128,102,0
94,128,102,0
95,140,36,42
96,140,36,42
97,61,61,203
98,61,61,203
99,0,152,64
100,0,152,64
101,203,149,149
102,203,149,149
103,0,94,92
104,0,94,92
105,203,0,67
106,203,0,67
107,203,149,149
108,203,149,149
109,94,17,76
110,94,17,76
111,203,67,16
112,203,67,16
113,254,177,254
114,239,29,29
115,254,254,0
116,101,0,220
117,203,203,3
118,0,250,0
119,160,127,0
120,0,203,0
121,254,66,0
122,191,23,23
123,254,254,4
124,128,128,128
125,217,217,217
126,0,117,115
127,90,90,250
128,230,185,49
129,230,185,49
130,202,0,70
131,162,0,56
132,76,76,254
133,76,76,254
134,0,117,115
135,203,203,3
136,0,203,0
137,0,250,0
138,254,254,0
139,202,0,70
140,254,186,186
141,0,117,115
142,203,67,16
143,203,67,16
144,118,0,33
145,0,190,80
146,118,86,68
147,0,169,254
148,162,81,203
149,203,0,67
150,0,254,0
151,254,254,4
152,149,203,203
153,186,254,254
154,67,67,254
155,254,254,135
156,203,67,16
157,168,66,0
158,254,186,186
159,254,66,0
160,191,23,23
161,162,0,56
162,198,198,2
163,101,0,220
164,135,0,203
165,190,86,59
166,118,86,68
167,135,0,203
168,76,76,254
169,118,16,16
170,162,54,13
171,0,254,254
172,162,0,54
173,248,248,2
174,95,59,159
175,0,254,254
176,118,0,33
177,0,117,115
178,190,86,59
179,118,21,95
180,90,90,250
181,67,67,254
182,61,61,203
183,0,254,0
184,118,21,95
185,128,128,128
186,0,117,115
187,162,54,13
188,203,203,108
189,61,61,203
190,254,177,254
191,254,254,135
192,118,16,16
193,0,94,92
194,102,102,102
195,152,69,47
196,0,250,254
197,203,0,67
198,0,117,115
199,254,186,186
200,47,0,104
201,203,67,16
202,175,45,53
203,168,66,0
204,203,0,67
205,16,220,84
206,203,149,149
207,0,94,92
208,254,186,186
209,203,0,67
210,47,0,104
211,254,254,4
212,0,169,254
213,239,29,29
214,152,254,84
215,186,254,254
216,217,217,217
217,203,203,108
218,162,0,54
219,0,254,0
220,203,101,254
221,0,190,80
222,203,67,16
223,0,250,254
224,102,102,102
225,198,198,2
226,254,127,0
227,254,254,4
228,203,101,254
229,0,254,0
230,203,142,203
231,254,254,4
232,203,142,203
233,239,29,29
234,16,220,84
235,160,127,0
236,95,59,159
237,0,117,115
238,160,127,0
239,248,248,2
240,0,117,115
241,254,254,4
242,203,0,67
243,203,149,149
244,152,254,84
245,203,0,67
246,160,127,0
247,162,81,203
248,239,29,29
249,204,204,204
250,76,76,254
251,175,45,53
252,204,204,204
253,149,203,203
254,203,67,16
255,254,127,0
